centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
9417992,House for sale,"$399,000",260, Rue Elm,"Lat:45.3748880000, Lon:-73.7288920000",5 bedrooms (2 in basement),2 bathrooms,,"Bungalow, Detached",1992,,,https://www.centris.ca/en/houses~for-sale~chateauguay/9417992?view=Summary&uc=1
23494263,House for sale,"$399,900",118, Rue Joseph-Lalumière,"Lat:45.3716508100, Lon:-73.7328355900",4 bedrooms (1 in basement),2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached",2004,"5,089 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/23494263?view=Summary&uc=1
12081129,House for sale,"$439,000",272, boulevard Kennedy,"Lat:45.3495700000, Lon:-73.7103190000",3 bedrooms (1 in basement),2 bathrooms,,"Bungalow, Detached",2010,"4,586 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/12081129?view=Summary&uc=1
21214619,House for sale,"$574,900",480, Chemin de la Haute-Rivière,"Lat:45.3265390000, Lon:-73.7721470000",3 bedrooms,2 bathrooms,,"Bungalow, Detached",1975,"38,392 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/21214619?view=Summary&uc=1
28540058,House for sale,"$189,000",21, Rue Dubuc,"Lat:45.3898346900, Lon:-73.7459680000",3 bedrooms,1 bathroom,,"Two or more storey, Detached",1956,"5,000 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/28540058?view=Summary&uc=1
19535284,House for sale,"$249,900",158, Rue de Champlain,"Lat:45.3474370000, Lon:-73.7338010000",3 bedrooms,1 bathroom,,"Bungalow, Detached",1961,"5,400 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/19535284?view=Summary&uc=1
13469184,House for sale,"$399,995",102, Rue de Liège,"Lat:45.3566850000, Lon:-73.7320050000",4 bedrooms (2 in basement),2 bathrooms,,"Bungalow, Detached",2009,"5,313 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/13469184?view=Summary&uc=1
18085843,House for sale,"$279,900",9, 1re Avenue,"Lat:45.3601575400, Lon:-73.7413757500",3 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Two or more storey, Detached",1953,"5,327 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/18085843?view=Summary&uc=1
12982592,House for sale,"$299,000",103, Rue De Longueuil,"Lat:45.3539281200, Lon:-73.7615728400",4 bedrooms (2 in basement),1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Split-level, Detached",1986,"7,748 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/12982592?view=Summary&uc=1
13087486,House for sale,"$335,000",208, Carré du Zodiaque,"Lat:45.3517060000, Lon:-73.7129100000",4 bedrooms (2 in basement),2 bathrooms,,"Bungalow, Semi-detached",1985,"4,792 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/13087486?view=Summary&uc=1
