centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
19399222,Quadruplex for sale,"$749,000",96A - 98A, 9e Avenue,"Lat:45.4278234700, Lon:-73.5963520000",,,,Semi-detached,1952,"3,382 sqft",,https://www.centris.ca/en/4plex~for-sale~montreal-lasalle/19399222?view=Summary
20743650,Commercial building for sale,"$800,000",296, Avenue Lafleur,"Lat:45.4296590000, Lon:-73.6482450000",,,,,1962,"17,586 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-lasalle/20743650?view=Summary
27119081,Business for sale,"$70,000",390, Avenue Lafleur,"Lat:45.4318070000, Lon:-73.6460800000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lasalle/27119081?view=Summary
9621759,Duplex for sale,"$709,000",7772 - 7774, Rue Tétrault,"Lat:45.4369490000, Lon:-73.6219110000",,,,Semi-detached,1970,"2,711 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/9621759?view=Summary
12818020,Triplex for sale,"$895,000",1466 - 1470, Rue Serre,"Lat:45.4317580000, Lon:-73.6228830000",,,,Semi-detached,1968,"3,660 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lasalle/12818020?view=Summary
11136641,Commercial building for sale,"$1,499,000",360 - 366, Avenue Lafleur,"Lat:45.4309110000, Lon:-73.6476280000",,,,,1956,"15,297 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-lasalle/11136641?view=Summary
27590679,Duplex for sale,"$659,000",8764 - 8766, Rue Lithuania,"Lat:45.4272767200, Lon:-73.6306108400",,,,Semi-detached,1968,"2,935 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/27590679?view=Summary
14320574,Duplex for sale,"$674,900",7817 - 7819, Rue Denise,"Lat:45.4371000000, Lon:-73.6234390000",,,,Attached,1970,"2,531 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/14320574?view=Summary
23039687,Duplex for sale,"$430,000",1712 - 1714, Avenue Dollard,"Lat:45.4285810000, Lon:-73.6312510000",,,,Semi-detached,1967,"4,576 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/23039687?view=Summary
21670050,Triplex for sale,"$729,900",378 - 382, Rue de Cabano,"Lat:45.4186230000, Lon:-73.6335340000",,,,Attached,1960,"3,665 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lasalle/21670050?view=Summary
23724744,Quadruplex for sale,"$1,050,000",473 - 477, Croissant de la Louisiane,"Lat:45.4177050000, Lon:-73.6179130000",,,,Semi-detached,1988,"5,416 sqft",,https://www.centris.ca/en/4plex~for-sale~montreal-lasalle/23724744?view=Summary
19705582,Duplex for sale,"$879,000",9213 - 9215, boulevard LaSalle,"Lat:45.4162930000, Lon:-73.6411320000",,,,Semi-detached,1965,"3,249 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/19705582?view=Summary
15490549,Duplex for sale,"$619,000",292 - 294, Avenue Stirling,"Lat:45.4334368800, Lon:-73.6588515200",,,,Attached,1964,"3,150 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/15490549?view=Summary
