small region,bedroom,year,avg_price,total
 Pointe-Saint-Charles,3,30 more,710670.0,2
 Pointe-Saint-Charles,3,5 less,1225000.0,1
 Pointe-Saint-Charles,4,30 more,1299000.0,1
 Pointe-Saint-Charles,5,30 more,1349444.0,2
 Pointe-aux-Trembles,2,30 less,354900.0,1
 Pointe-aux-Trembles,2,30 more,339900.0,1
 Pointe-aux-Trembles,3,30 less,369000.0,1
 Pointe-aux-Trembles,3,30 more,339687.5,8
 Pointe-aux-Trembles,4,20 less,487700.0,1
 Pointe-aux-Trembles,4,30 more,343500.0,2
 Pointe-aux-Trembles,5,30 more,359000.0,1
 Port-Maurice,2,30 more,499900.0,1
 Port-Maurice,3,10 less,1229000.0,1
 Port-Maurice,3,30 more,599000.0,2
 Port-Maurice,3,5 less,899000.0,1
 Port-Maurice,4,30 more,929000.0,1
 Port-Maurice,5,30 more,849000.0,1
 Port-Maurice,7,30 more,699000.0,1
 Port-Saint-Raphaël,3,10 less,559000.0,2
 Port-Saint-Raphaël,3,30 more,441000.0,5
 Port-Saint-Raphaël,4,10 less,539900.0,1
 Port-Saint-Raphaël,4,20 less,1749000.0,1
 Port-Saint-Raphaël,4,30 less,539000.0,1
 Port-Saint-Raphaël,4,30 more,467250.0,2
 Port-Saint-Raphaël,4,5 less,1449000.0,1
 Port-Saint-Raphaël,5,20 less,3280000.0,1
 Prince-Arthur,3,30 more,1249000.0,1
 Promenade Sainte-Catherine Est,6,30 more,1195000.0,1
 Préfontaine,8,30 more,1249000.0,1
 Quartier international,4,30 more,3999000.0,1
 René-Goupil,3,30 more,450000.0,1
 René-Goupil,4,30 more,412000.0,2
 René-Lévesque,7,30 more,699000.0,1
 Riviera,3,20 less,858000.0,1
 Riviera,3,30 more,895000.0,1
 Riviera,4,20 less,883000.0,2
 Riviera,4,30 more,1262000.0,2
 Riviera,5,20 less,997000.0,2
 Riviera,5,30 less,752000.0,2
 Riviera,5,30 more,550000.0,1
 Riviera,5,5 less,1198000.0,1
 Riviera,6,20 less,739000.0,1
 Rivière-des-Prairies,3,20 less,723500.0,4
